name,percent_return_on_investment,sector,above_below_sandp_return,predictions
"Walmart, Inc.",76.42246530011951,Consumer Defensive,0,0
The Western Union Co.,5.23001095290253,Financial Services,0,0
Weyerhaeuser Co.,7.577337504344789,Basic Materials,0,0
Wynn Resorts Ltd.,62.88852535639167,Consumer Cyclical,0,0
Cimarex Energy Co.,53.25757575757577,Energy,0,0
"Xcel Energy, Inc.",135.12173128944994,Utilities,0,0
"Xilinx, Inc.",219.7456383499103,Technology,0,1
Exxon Mobil Corp.,11.74594557915451,Energy,0,0
"Dentsply Sirona, Inc.",58.83521858758789,Healthcare,0,0
Xerox Holdings Corp.,10.848508330104615,Technology,0,1
"Xylem, Inc.",182.39408473221425,Industrials,0,0
"Yum! Brands, Inc.",185.64219436757287,Consumer Cyclical,0,0
"Zimmer Biomet Holdings, Inc.",16.09367238800098,Healthcare,0,0
Zions Bancorporation NA,198.12291855888583,Financial Services,0,0
"Zoetis, Inc.",119.63718220338986,Healthcare,0,0
